X,Y0,Y1,Y2
2010,7.97,0.25,1.67
2010,7.77,0.24,2.03
2010,7.68,0.24,1.73
2010,7.56,0.24,1.54
2010,7.62,0.24,1.33
2010,7.8,0.25,1.11
2010,7.92,0.25,1.17
2010,7.83,0.24,1.19
2010,7.89,0.24,1.2
2010,7.72,0.25,1.24
2010,7.71,0.26,1.34
2010,7.74,0.25,1.43
2010,7.68,0.25,1.42
2010,7.53,0.24,1.48
2010,7.62,0.25,1.46
2010,7.99,0.25,1.39
2010,7.83,0.24,1.42
2010,7.84,0.24,1.44
2010,7.84,0.24,1.43
2010,7.98,0.24,1.41
2010,8.01,0.24,1.39
2010,7.91,0.22,1.39
2010,7.82,0.21,1.36
2010,7.91,0.22,1.4
2010,7.93,0.21,1.46
2010,7.96,0.21,1.48
2010,7.93,0.22,1.44
2010,7.88,0.22,1.34
2010,7.9,0.22,1.33
2010,7.85,0.22,1.31
2010,7.7,0.21,1.26
2010,7.63,0.21,1.19
2010,7.59,0.22,1.23
2010,7.53,0.22,1.25
2010,7.67,0.22,1.29
2010,7.67,0.22,1.31
2010,7.64,0.23,1.28
2010,7.65,0.23,1.27
2010,7.59,0.24,1.36
2010,7.32,0.23,1.31
2010,7.35,0.23,1.33
2010,7.4,0.23,1.35
2010,7.31,0.23,1.32
2010,7.4,0.23,1.35
2010,7.37,0.22,1.32
2010,7.58,0.22,1.38
2010,7.6,0.22,1.42
2010,7.8,0.23,1.42
2010,7.82,0.23,1.4
2010,7.97,0.24,1.4
2010,8.03,0.24,1.4
2010,7.97,0.24,1.4
2010,8.08,0.25,1.39
2010,8.11,0.24,1.44
2010,8.15,0.24,1.47
2010,8.34,0.24,1.54
2010,8.37,0.24,1.42
2010,8.55,0.25,1.42
2010,8.66,0.26,1.44
2010,8.68,0.26,1.4
2010,8.82,0.27,1.34
2010,8.84,0.28,1.35
2010,8.88,0.28,1.39
2010,8.79,0.28,1.43
2010,8.73,0.28,1.47
2010,8.74,0.28,1.48
2010,8.63,0.27,1.38
2010,8.52,0.26,1.41
2010,8.72,0.26,1.42
2010,8.8,0.26,1.42
2010,8.75,0.25,1.38
2010,8.87,0.25,1.39
2010,8.95,0.25,1.38
2010,9.02,0.25,1.35
2010,9.1,0.26,1.39
2010,9.11,0.26,1.4
2010,9.49,0.26,1.39
2010,9.61,0.26,1.38
2010,9.45,0.26,1.36
2010,9.47,0.27,1.38
2010,9.48,0.26,1.4
2010,9.34,0.27,1.4
