Year,AAPL,NVDA,TSLA
2010,7.96,0.25,1.67
2010,7.76,0.24,2.03
2010,7.67,0.24,1.73
2010,7.55,0.24,1.54
2010,7.61,0.24,1.33
2010,7.79,0.25,1.11
2010,7.91,0.25,1.17
2010,7.82,0.24,1.19
2010,7.88,0.24,1.2
2010,7.72,0.25,1.24
2010,7.7,0.26,1.34
2010,7.73,0.25,1.43
2010,7.67,0.25,1.42
2010,7.52,0.24,1.48
2010,7.61,0.25,1.46
2010,7.98,0.25,1.39
2010,7.82,0.24,1.42
2010,7.84,0.24,1.44
2010,7.83,0.24,1.43
2010,7.97,0.24,1.41
2010,8.0,0.24,1.39
2010,7.9,0.22,1.39
2010,7.82,0.21,1.36
2010,7.9,0.22,1.4
2010,7.92,0.21,1.46
2010,7.95,0.21,1.48
2010,7.92,0.22,1.44
2010,7.87,0.22,1.34
2010,7.89,0.22,1.33
2010,7.84,0.22,1.31
2010,7.69,0.21,1.26
2010,7.62,0.21,1.19
2010,7.58,0.22,1.23
2010,7.52,0.22,1.25
2010,7.66,0.22,1.29
2010,7.66,0.22,1.31
2010,7.63,0.23,1.28
2010,7.64,0.23,1.27
2010,7.58,0.24,1.36
2010,7.31,0.23,1.31
2010,7.34,0.23,1.33
2010,7.4,0.23,1.35
2010,7.3,0.23,1.32
2010,7.4,0.23,1.35
2010,7.36,0.22,1.32
2010,7.57,0.22,1.38
2010,7.59,0.22,1.42
2010,7.79,0.23,1.42
2010,7.81,0.23,1.4
2010,7.96,0.24,1.4
2010,8.02,0.24,1.4
2010,7.96,0.24,1.4
2010,8.07,0.25,1.39
2010,8.1,0.24,1.44
2010,8.14,0.24,1.47
2010,8.33,0.24,1.54
2010,8.36,0.24,1.42
2010,8.54,0.25,1.42
2010,8.65,0.26,1.44
2010,8.67,0.26,1.4
2010,8.81,0.27,1.34
2010,8.83,0.28,1.35
2010,8.87,0.28,1.39
2010,8.78,0.28,1.43
2010,8.72,0.28,1.47
2010,8.73,0.28,1.48
2010,8.62,0.27,1.38
2010,8.51,0.26,1.41
2010,8.71,0.26,1.42
2010,8.79,0.26,1.42
2010,8.74,0.25,1.38
2010,8.86,0.25,1.39
2010,8.95,0.25,1.38
2010,9.01,0.25,1.35
2010,9.09,0.26,1.39
2010,9.1,0.26,1.4
2010,9.48,0.26,1.39
2010,9.6,0.26,1.38
2010,9.44,0.26,1.36
2010,9.46,0.27,1.38
2010,9.47,0.26,1.4
2010,9.33,0.27,1.4
2010,9.38,0.28,1.4
2010,9.32,0.28,1.46
2010,9.33,0.28,1.43
2010,9.27,0.28,1.43
2010,9.21,0.28,1.46
2010,9.2,0.28,1.52
2010,9.33,0.29,1.46
2010,9.42,0.29,1.5
2010,9.64,0.29,1.69
2010,9.62,0.29,1.66
2010,9.62,0.29,1.67
2010,9.67,0.29,1.71
2010,9.59,0.29,2.0
2010,9.58,0.29,1.94
2010,9.52,0.31,2.03
2010,9.35,0.31,2.2
2010,9.26,0.3,2.09
2010,9.15,0.3,2.05
2010,9.32,0.31,2.05
2010,9.28,0.32,2.09
2010,9.43,0.32,2.23
2010,9.38,0.32,2.38
2010,9.49,0.32,2.4
2010,9.56,0.32,2.4
2010,9.55,0.32,2.4
2010,9.46,0.31,2.36
2010,9.56,0.33,2.43
2010,9.6,0.33,2.29
2010,9.59,0.34,2.15
2010,9.7,0.34,2.1
2010,9.75,0.35,2.16
2010,9.66,0.35,2.17
2010,9.71,0.34,2.18
2010,9.66,0.35,2.19
2010,9.78,0.34,2.12
2010,9.71,0.35,2.03
2010,9.72,0.34,2.0
2010,9.71,0.33,2.06
2010,9.68,0.33,2.1
2010,9.73,0.33,2.15
2010,9.76,0.34,2.18
2010,9.8,0.35,2.19
2010,9.78,0.34,2.17
2010,9.79,0.35,1.91
2010,9.83,0.35,1.78
2010,9.82,0.35,1.87
2010,9.8,0.35,1.86
2010,9.73,0.35,1.82
2011,9.94,0.37,1.8
2011,10.01,0.36,1.8
2011,10.06,0.39,1.79
2011,10.09,0.44,1.87
2011,10.12,0.46,1.91
2011,10.33,0.47,1.91
2011,10.38,0.48,1.91
2011,10.37,0.54,1.83
2011,10.43,0.55,1.8
2011,10.49,0.55,1.77
2011,10.38,0.54,1.71
2011,10.49,0.54,1.7
2011,10.18,0.52,1.63
2011,10.08,0.53,1.57
2011,10.16,0.57,1.65
2011,10.28,0.57,1.66
2011,10.4,0.57,1.66
2011,10.37,0.57,1.67
2011,10.36,0.57,1.66
2011,10.23,0.56,1.61
2011,10.4,0.57,1.65
2011,10.39,0.6,1.61
2011,10.36,0.59,1.59
2011,10.43,0.59,1.58
2011,10.63,0.58,1.55
2011,10.7,0.57,1.68
2011,10.8,0.55,1.61
2011,10.83,0.53,1.58
2011,10.77,0.56,1.58
2011,10.82,0.56,1.61
2011,10.83,0.53,1.54
2011,10.98,0.54,1.66
2011,10.84,0.6,1.7
2011,10.82,0.59,1.57
2011,10.39,0.57,1.53
2011,10.37,0.54,1.5
2011,10.39,0.53,1.51
2011,10.49,0.54,1.59
2011,10.68,0.54,1.61
2011,10.7,0.53,1.62
2011,10.66,0.51,1.62
2011,10.83,0.49,1.65
2011,10.84,0.48,1.67
2011,10.88,0.48,1.69
2011,10.76,0.48,1.66
2011,10.68,0.45,1.67
2011,10.53,0.43,1.63
2011,10.6,0.43,1.62
2011,10.73,0.43,1.6
2011,10.47,0.41,1.53
2011,10.32,0.42,1.55
2011,10.22,0.41,1.56
2011,10.18,0.42,1.55
2011,10.22,0.42,1.54
2011,10.31,0.41,1.52
2011,10.24,0.41,1.48
2011,10.41,0.45,1.49
2011,10.59,0.45,1.53
2011,10.66,0.45,1.57
2011,10.56,0.44,1.6
2011,10.56,0.44,1.63
2011,10.53,0.43,1.91
2011,10.58,0.43,1.88
2011,10.37,0.42,1.8
2011,10.3,0.41,1.8
2011,10.35,0.41,1.8
2011,10.24,0.42,1.86
2011,10.24,0.42,1.84
2011,10.1,0.41,1.77
2011,10.04,0.4,1.68
2011,10.12,0.41,1.71
2011,10.11,0.42,1.69
2011,10.04,0.43,1.75
2011,10.0,0.42,1.71
2011,10.17,0.42,1.68
2011,10.4,0.43,1.74
2011,10.69,0.43,1.8
2011,10.65,0.44,1.78
2011,10.68,0.45,1.82
2011,10.6,0.44,1.82
2011,10.53,0.46,1.85
2011,10.65,0.47,1.86
2011,10.55,0.47,1.85
2011,10.53,0.45,1.83
2011,10.59,0.44,1.8
2011,10.56,0.43,1.83
2011,10.53,0.45,1.85
2011,10.51,0.46,1.87
2011,10.52,0.46,1.93
2011,10.53,0.46,1.89
2011,10.45,0.47,1.85
2011,10.42,0.44,1.88
2011,10.27,0.42,1.87
2011,10.12,0.4,1.8
2011,10.26,0.42,1.76
2011,10.3,0.42,1.9
2011,10.26,0.42,1.89
2011,10.11,0.42,1.84
2011,10.11,0.43,1.83
2011,10.19,0.42,1.93
2011,10.14,0.44,1.98
2011,10.16,0.45,1.98
2011,10.47,0.46,2.02
2011,10.6,0.46,2.01
2011,10.47,0.44,1.95
2011,10.39,0.44,2.1
2011,10.44,0.43,2.01
2011,10.18,0.42,1.96
2011,10.08,0.41,1.91
2011,10.04,0.4,1.87
2011,9.98,0.4,1.89
2011,9.88,0.4,1.93
2011,10.03,0.4,1.98
2011,9.94,0.39,1.9
2011,9.89,0.39,1.87
2011,9.91,0.38,1.85
2011,9.56,0.37,1.76
2011,9.8,0.37,1.85
2011,9.9,0.37,1.88
2011,9.98,0.37,1.85
2011,10.03,0.37,1.86
2011,10.05,0.36,1.89
2011,10.13,0.36,1.88
